时间,地区,当月值(万千瓦时),同比增长(%),累计值(万千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-12,贵州省,79675.00,122.00,1170933.00,15.60,136,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,四川省,43686.00,102.60,440521.00,61.40,137,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,重庆市,2505.00,19.10,43076.00,2.30,138,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,海南省,12656.00,5.50,196163.00,51.20,139,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,广西区,46444.00,72.10,545911.00,61.60,140,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,广东省,67349.00,13.30,891487.00,26.60,141,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,湖南省,23595.00,-12.00,303132.00,-1.10,142,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,湖北省,95469.00,44.60,1180174.00,33.90,143,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,河南省,43702.00,-32.10,677016.00,-18.00,144,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,山东省,92138.00,15.10,1537177.00,29.80,145,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,江西省,49878.00,6.90,663898.00,5.10,146,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,福建省,3127.00,12.50,50211.00,31.80,147,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,安徽省,76297.00,6.80,1111912.00,2.40,148,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,浙江省,91358.00,4.70,1418099.00,22.00,149,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,江苏省,70002.00,18.90,1048769.00,6.30,150,2023-12-31 00:00:00,1,0,2024-07-02 18:58:40,0,2024-07-02 18:58:40,,,
2023-12,上海市,3515.00,-17.60,51029.00,9.40,151,2023-12-31 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-12,黑龙江省,40313.00,16.00,566369.00,2.50,152,2023-12-31 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-12,吉林省,24849.00,-3.20,405050.00,3.30,153,2023-12-31 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-12,辽宁省,30497.00,5.70,482516.00,35.70,154,2023-12-31 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-12,内蒙古区,129625.00,6.50,2054553.00,16.20,155,2023-12-31 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-12,山西省,110885.00,-7.80,1605659.00,3.00,156,2023-12-31 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-12,河北省,139033.00,-7.40,2320507.00,15.90,157,2023-12-31 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-12,天津市,20444.00,104.30,227758.00,51.20,158,2023-12-31 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-12,北京市,853.00,-26.60,19196.00,9.20,159,2023-12-31 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-12,全国,2105000.00,17.20,29397000.00,17.20,160,2023-12-31 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-11,新疆区,149863.00,40.10,1873982.00,16.40,161,2023-11-30 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-11,宁夏区,211537.00,67.90,2134794.00,21.60,162,2023-11-30 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-11,青海省,172776.00,4.90,1951915.00,5.10,163,2023-11-30 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-11,甘肃省,151636.00,38.10,1702478.00,26.90,164,2023-11-30 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-11,陕西省,99482.00,47.10,1029978.00,1.70,165,2023-11-30 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-11,西藏区,6702.00,0.70,65185.00,-9.80,166,2023-11-30 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-11,云南省,98233.00,144.40,809016.00,125.70,167,2023-11-30 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-11,贵州省,85984.00,-9.30,1088898.00,11.00,168,2023-11-30 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-11,四川省,41783.00,54.90,396855.00,57.90,169,2023-11-30 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-11,重庆市,2732.00,39.70,39655.00,-0.90,170,2023-11-30 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-11,海南省,15394.00,32.20,183589.00,56.00,171,2023-11-30 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
2023-11,广西区,51153.00,106.00,482113.00,55.10,172,2023-11-30 00:00:00,1,0,2024-07-02 18:58:45,0,2024-07-02 18:58:45,,,
