date,永安_厂级_上网电量,永安_厂级_供热厂用电量,永安_厂级_供热用厂用电率,永安_厂级_利用小时,永安_厂级_发电厂用电率,永安_厂级_发电标煤量,永安_厂级_发电用厂用电量,永安_厂级_开机率,永安_厂级_日电网调度发电量,永安_厂级_综合供电煤耗,永安_厂级_综合厂用电率,永安_厂级_综合厂用电量,永安_厂级_耗煤量,永安_厂级_负荷率,永安_永安#8_上网电量,永安_永安#8_利用小时,永安_永安#8_发电厂用电率,永安_永安#8_发电标煤量,永安_永安#8_发电用厂用电量,永安_永安#8_开机率,永安_永安#8_综合供电煤耗,永安_永安#8_综合厂用电率,永安_永安#8_综合厂用电量,永安_永安#8_负荷率,永安_永安#8_运行小时,永安_永安#8_发电量
20220606.0,463.93,8.15,7.671888,8.387167,5.744888,1459.69362,28.91,50.0,504.0,314.636609,7.811537,39.31,2957.0,69.893056,463.925,16.774333,5.743954,1459.69362,28.9053,100.0,314.64,7.810544,39.305,69.893056,24.0,503.23
20220607.0,459.31,8.76,7.655342,8.310333,5.549316,1442.814797,27.67,50.0,504.0,314.12658,7.885765,39.32,3115.89,69.252778,459.305,16.620667,5.549557,1442.814797,27.6712,100.0,314.13,7.884762,39.315,69.252778,24.0,498.62
20220608.0,461.45,8.82,7.813414,8.365667,5.689923,1450.752655,28.56,50.0,504.0,314.39,8.066701,40.49,3142.0,69.713889,461.45,16.731333,5.689325,1450.752655,28.557,100.0,314.39,8.066701,40.49,69.713889,24.0,501.94
20220609.0,460.35,8.76,7.75879,8.337167,5.707375,1447.70868,28.55,50.0,504.0,314.48,7.972333,39.88,3252.0,69.476389,460.35,16.674333,5.706675,1447.70868,28.5465,100.0,314.48,7.972333,39.88,69.476389,24.0,500.23
20220610.0,457.93,8.28,7.797227,8.307333,5.820159,1443.807497,29.01,50.0,504.0,315.29,8.127357,40.51,3229.32,69.227778,457.93,16.614667,5.819497,1443.807497,29.0067,100.0,315.29,8.127357,40.51,69.227778,24.0,498.44
20220611.0,458.7,8.45,7.898185,8.323333,5.849019,1441.00605,29.21,50.0,504.0,314.15,8.14978,40.7,3444.0,69.361111,458.7,16.646667,5.84978,1441.00605,29.2138,100.0,314.15,8.14978,40.7,69.361111,24.0,499.4
20220612.0,461.18,7.96,7.763044,8.3545,5.855128,1452.977955,29.35,50.0,504.0,315.056584,7.999681,40.1,3008.17,69.620833,461.175,16.709,5.854669,1452.977955,29.3477,100.0,315.06,7.998683,40.095,69.620833,24.0,501.27
20220613.0,458.26,8.06,7.737442,8.317,5.853473,1439.807094,29.21,50.0,504.0,314.19,8.168009,40.76,2969.0,69.308333,458.26,16.634,5.853753,1439.807094,29.2114,100.0,314.19,8.168009,40.76,69.308333,24.0,499.02
20220614.0,458.98,8.12,7.713696,8.314,5.821506,1445.633558,29.04,50.0,504.0,314.966569,7.992543,39.87,2759.74,69.283333,458.975,16.628,5.820884,1445.633558,29.0369,100.0,314.97,7.99154,39.865,69.283333,24.0,498.84
20220615.0,458.98,8.21,7.522655,8.307167,5.629677,1441.54868,28.06,50.0,504.0,314.076579,7.916859,39.46,2699.0,69.226389,458.975,16.614333,5.629015,1441.54868,28.0567,100.0,314.08,7.915856,39.455,69.226389,24.0,498.43
20220616.0,458.04,8.57,7.629279,8.283833,5.679738,1431.008568,28.23,50.0,504.0,312.42,7.844597,38.99,2896.0,69.031944,458.04,16.567667,5.679215,1431.008568,28.2274,100.0,312.42,7.844597,38.99,69.031944,24.0,497.03
20220617.0,439.78,9.41,7.941766,8.014333,5.689806,1368.771272,27.36,50.0,480.0,311.24,8.543027,41.08,3037.0,66.786111,439.78,16.028667,5.689515,1368.771272,27.3586,100.0,311.24,8.543027,41.08,66.786111,24.0,480.86
20220618.0,439.73,9.55,8.124451,8.000333,5.818508,1368.292283,27.93,50.0,480.0,311.166462,8.395484,40.3,2851.16,66.669444,439.725,16.000667,5.818403,1368.292283,27.9295,100.0,311.17,8.394442,40.295,66.669444,24.0,480.02
20220619.0,437.86,9.39,8.382132,7.982667,5.998413,1366.195171,28.73,50.0,480.0,312.016437,8.581092,41.1,2859.0,66.522222,437.855,15.965333,5.997515,1366.195171,28.7257,100.0,312.02,8.582136,41.105,66.522222,24.0,478.96
20220620.0,420.04,10.04,8.301754,7.6735,5.912122,1309.837144,27.22,50.0,480.0,311.836288,8.770444,40.38,2827.0,63.945833,420.035,15.347,5.911644,1309.837144,27.2178,100.0,311.84,8.769358,40.375,63.945833,24.0,460.41
