时间,数据名称,本期(点),上期(点),环比增减(点),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-17,波罗的海巴拿马指数(BPI),1960.00,1950.00,10.00,0.51%,113,2024-06-17 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-17,波罗的海超灵便运价指数(BSI),1346.00,1335.00,11.00,0.82%,114,2024-06-17 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-17,波罗的海灵便型船指数(BHSI),716.00,711.00,5.00,0.7%,115,2024-06-17 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-14,波罗的海干散货指数(BDI),1948.00,1942.00,6.00,0.31%,116,2024-06-14 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-14,波罗的海海岬型指数(BCI),2957.00,2985.00,-28.00,-0.94%,117,2024-06-14 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-14,波罗的海巴拿马指数(BPI),1950.00,1920.00,30.00,1.56%,118,2024-06-14 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-14,波罗的海超灵便运价指数(BSI),1335.00,1313.00,22.00,1.68%,119,2024-06-14 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-14,波罗的海灵便型船指数(BHSI),711.00,708.00,3.00,0.42%,120,2024-06-14 00:00:00,1,0,2024-07-20 09:22:32,0,2024-07-20 09:22:32,,,
2024-06-13,波罗的海干散货指数(BDI),1942.00,1836.00,106.00,5.77%,121,2024-06-13 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-13,波罗的海海岬型指数(BCI),2985.00,2726.00,259.00,9.5%,122,2024-06-13 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-13,波罗的海巴拿马指数(BPI),1920.00,1864.00,56.00,3.%,123,2024-06-13 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-13,波罗的海超灵便运价指数(BSI),1313.00,1297.00,16.00,1.23%,124,2024-06-13 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-13,波罗的海灵便型船指数(BHSI),708.00,708.00,0.00,0.%,125,2024-06-13 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-12,波罗的海干散货指数(BDI),1836.00,1831.00,5.00,0.27%,126,2024-06-12 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-12,波罗的海海岬型指数(BCI),2726.00,2784.00,-58.00,-2.08%,127,2024-06-12 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-12,波罗的海巴拿马指数(BPI),1864.00,1807.00,57.00,3.15%,128,2024-06-12 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-12,波罗的海超灵便运价指数(BSI),1297.00,1271.00,26.00,2.05%,129,2024-06-12 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-12,波罗的海灵便型船指数(BHSI),708.00,711.00,-3.00,-0.42%,130,2024-06-12 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-11,波罗的海干散货指数(BDI),1831.00,1883.00,-52.00,-2.76%,131,2024-06-11 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-11,波罗的海海岬型指数(BCI),2784.00,2985.00,-201.00,-6.73%,132,2024-06-11 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-11,波罗的海巴拿马指数(BPI),1807.00,1769.00,38.00,2.15%,133,2024-06-11 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-11,波罗的海超灵便运价指数(BSI),1271.00,1257.00,14.00,1.11%,134,2024-06-11 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-11,波罗的海灵便型船指数(BHSI),711.00,714.00,-3.00,-0.42%,135,2024-06-11 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-10,波罗的海干散货指数(BDI),1883.00,1881.00,2.00,0.11%,136,2024-06-10 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-10,波罗的海海岬型指数(BCI),2985.00,2998.00,-13.00,-0.43%,137,2024-06-10 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-10,波罗的海巴拿马指数(BPI),1769.00,1750.00,19.00,1.09%,138,2024-06-10 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-10,波罗的海超灵便运价指数(BSI),1257.00,1254.00,3.00,0.24%,139,2024-06-10 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-10,波罗的海灵便型船指数(BHSI),714.00,714.00,0.00,0.%,140,2024-06-10 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-07,波罗的海干散货指数(BDI),1881.00,1869.00,12.00,0.64%,141,2024-06-07 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
2024-06-07,波罗的海海岬型指数(BCI),2998.00,2977.00,21.00,0.71%,142,2024-06-07 00:00:00,1,0,2024-07-20 09:22:36,0,2024-07-20 09:22:36,,,
