时间,数据名称,价格类型,本期价格(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-04-01,焦炭,收盘价,1979.50,-0.53%,147,2024-04-01 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-04-01,焦炭,结算价,1961.00,-1.93%,148,2024-04-01 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-03-29,焦炭,收盘价,1990.00,-2.81%,149,2024-03-29 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-03-29,焦炭,结算价,1999.50,-2.06%,150,2024-03-29 00:00:00,1,0,2024-07-20 12:04:40,0,2024-07-20 12:04:40,,,
2024-03-28,焦炭,收盘价,2047.50,-0.46%,151,2024-03-28 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-28,焦炭,结算价,2041.50,-1.95%,152,2024-03-28 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-27,焦炭,收盘价,2057.00,-1.6%,153,2024-03-27 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-27,焦炭,结算价,2082.00,-2.18%,154,2024-03-27 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-26,焦炭,收盘价,2090.50,-2.81%,155,2024-03-26 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-26,焦炭,结算价,2128.50,-2.23%,156,2024-03-26 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-25,焦炭,收盘价,2151.00,-1.58%,157,2024-03-25 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-25,焦炭,结算价,2177.00,-0.05%,158,2024-03-25 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-22,焦炭,收盘价,2185.50,-0.02%,159,2024-03-22 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-22,焦炭,结算价,2178.00,0.25%,160,2024-03-22 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-21,焦炭,收盘价,2186.00,0.51%,161,2024-03-21 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-21,焦炭,结算价,2172.50,-0.57%,162,2024-03-21 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-20,焦炭,收盘价,2175.00,-0.21%,163,2024-03-20 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-20,焦炭,结算价,2185.00,1.18%,164,2024-03-20 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-19,焦炭,收盘价,2179.50,1.51%,165,2024-03-19 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-19,焦炭,结算价,2159.50,1.55%,166,2024-03-19 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-18,焦炭,收盘价,2147.00,0.28%,167,2024-03-18 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-18,焦炭,结算价,2126.50,-0.95%,168,2024-03-18 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-15,焦炭,收盘价,2141.00,-1.27%,169,2024-03-15 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-15,焦炭,结算价,2147.00,-1.45%,170,2024-03-15 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-14,焦炭,收盘价,2168.50,-1.18%,171,2024-03-14 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
2024-03-14,焦炭,结算价,2178.50,-1.31%,172,2024-03-14 00:00:00,1,0,2024-07-20 12:04:44,0,2024-07-20 12:04:44,,,
