时间,项目名称,期末值(亿元),同比增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2019-12,货币和准货币(M2)供应量,1986500.00,8.70,165,2019-12-31 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2019-11,流通中现金(M0)供应量,74000.00,4.80,166,2019-11-30 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2019-11,货币(M1)供应量,562500.00,3.50,167,2019-11-30 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2019-11,货币和准货币(M2)供应量,1961400.00,8.20,168,2019-11-30 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2019-10,流通中现金(M0)供应量,73400.00,4.70,169,2019-10-31 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2019-10,货币(M1)供应量,558100.00,3.30,170,2019-10-31 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2019-10,货币和准货币(M2)供应量,1945600.00,8.40,171,2019-10-31 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2019-09,流通中现金(M0)供应量,74100.00,4.00,172,2019-09-30 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2019-09,货币(M1)供应量,557100.00,3.40,173,2019-09-30 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
2019-09,货币和准货币(M2)供应量,1952300.00,8.40,174,2019-09-30 00:00:00,1,0,2024-07-21 05:01:40,0,2024-07-21 05:01:40,,,
