时间,项目名称,当期值,累计值,累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2018-03,出口数量(万吨),21.90,96.80,-60.50,149,2018-03-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-03,出口金额(千美元),47300.00,164900.00,-33.20,150,2018-03-31 00:00:00,1,0,2024-07-20 14:45:09,0,2024-07-20 14:45:09,,,
2018-02,出口数量(万吨),46.80,74.90,-30.10,151,2018-02-28 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2018-02,出口金额(千美元),60400.00,117600.00,3.50,152,2018-02-28 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2018-01,出口数量(万吨),28.10,28.10,-53.00,153,2018-01-31 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2018-01,出口金额(千美元),57200.00,57200.00,-18.40,154,2018-01-31 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-12,出口数量(万吨),70.00,817.00,-7.00,155,2017-12-31 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-12,出口金额(千美元),94997.00,1103938.00,58.10,156,2017-12-31 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-11,出口数量(万吨),75.00,747.00,-6.90,157,2017-11-30 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-11,出口金额(千美元),90549.00,1007714.00,64.80,158,2017-11-30 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-10,出口数量(万吨),12.00,671.00,-6.70,159,2017-10-31 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-10,出口金额(千美元),23003.00,917165.00,70.50,160,2017-10-31 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-09,出口数量(万吨),69.00,660.00,4.80,161,2017-09-30 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-09,出口金额(千美元),80051.00,895398.00,88.30,162,2017-09-30 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-08,出口数量(万吨),6.00,591.00,4.30,163,2017-08-31 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-08,出口金额(千美元),11446.00,815094.00,90.90,164,2017-08-31 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-07,出口数量(万吨),48.00,586.00,19.40,165,2017-07-31 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-07,出口金额(千美元),62149.00,803648.00,114.40,166,2017-07-31 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-06,出口数量(万吨),73.00,538.00,15.10,167,2017-06-30 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-06,出口金额(千美元),141796.00,741499.00,108.90,168,2017-06-30 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-05,出口数量(万吨),131.00,465.00,15.90,169,2017-05-31 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-05,出口金额(千美元),229678.00,599703.00,99.30,170,2017-05-31 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-04,出口数量(万吨),89.00,334.00,1.00,171,2017-04-30 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
2017-04,出口金额(千美元),123105.00,370038.00,50.20,172,2017-04-30 00:00:00,1,0,2024-07-20 14:45:12,0,2024-07-20 14:45:12,,,
