时间,港口名称,规格品,本期价格(元/吨),上期(元/吨),环比增减(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-12,黄骅港,5000K,645 - 655,645 - 655,0.00,0.00,133,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,黄骅港,4500K,580 - 590,580 - 590,0.00,0.00,134,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,天津港,5800K,750 - 760,750 - 760,0.00,0.00,135,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,天津港,5500K,715 - 725,715 - 725,0.00,0.00,136,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,天津港,5000K,645 - 655,645 - 655,0.00,0.00,137,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,天津港,4500K,580 - 590,580 - 590,0.00,0.00,138,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,曹妃甸港,5800K,750 - 760,750 - 760,0.00,0.00,139,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,曹妃甸港,5500K,715 - 725,715 - 725,0.00,0.00,140,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,曹妃甸港,5000K,645 - 655,645 - 655,0.00,0.00,141,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,曹妃甸港,4500K,580 - 590,580 - 590,0.00,0.00,142,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,国投京唐港,5800K,750 - 760,750 - 760,0.00,0.00,143,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,国投京唐港,5500K,715 - 725,715 - 725,0.00,0.00,144,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,国投京唐港,5000K,645 - 655,645 - 655,0.00,0.00,145,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,国投京唐港,4500K,580 - 590,580 - 590,0.00,0.00,146,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,京唐港,5800K,750 - 760,750 - 760,0.00,0.00,147,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,京唐港,5500K,715 - 725,715 - 725,0.00,0.00,148,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,京唐港,5000K,645 - 655,645 - 655,0.00,0.00,149,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-12,京唐港,4500K,580 - 590,580 - 590,0.00,0.00,150,2024-06-12 00:00:00,1,0,2024-07-20 05:48:59,0,2024-07-20 05:48:59,,,
2024-06-05,环渤海,5500K,718,716,2.00,0.28,151,2024-06-05 00:00:00,1,0,2024-07-20 05:49:03,0,2024-07-20 05:49:03,,,
