时间,地区,当月值(万重量箱),同比增长(%),累计值(万重量箱),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-02,内蒙古区,,,179.62,,146,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,山西省,,,385.93,,147,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,河北省,,,2409.27,,148,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,天津市,,,466.64,,149,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2024-02,北京市,,,8.70,,150,2024-02-29 00:00:00,1,0,2024-07-21 04:09:12,0,2024-07-21 04:09:12,,,
2023-12,新疆区,79.24,,986.90,,151,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,宁夏区,37.00,,401.86,,152,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,青海省,2.45,,48.81,,153,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,甘肃省,37.26,,776.88,,154,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,陕西省,152.28,,2008.43,,155,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,云南省,92.54,,1158.13,,156,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,贵州省,148.17,,1345.81,,157,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,四川省,568.99,,6378.76,,158,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,重庆市,181.73,,2156.41,,159,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,海南省,96.86,,1146.84,,160,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,广西区,290.10,,3333.54,,161,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,广东省,830.93,,8931.64,,162,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,湖南省,434.38,,4328.82,,163,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,湖北省,890.44,,10668.87,,164,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,河南省,127.63,,1280.01,,165,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,山东省,773.49,,8647.10,,166,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,江西省,34.42,,393.44,,167,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,福建省,447.91,,5303.92,,168,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,安徽省,472.80,,4946.23,,169,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,浙江省,290.81,,3822.50,,170,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,江苏省,167.66,,1832.87,,171,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,黑龙江省,48.49,,481.79,,172,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,吉林省,103.96,,1183.57,,173,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,辽宁省,456.52,,5662.91,,174,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,内蒙古区,89.17,,1118.72,,175,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,山西省,212.35,,2258.40,,176,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,河北省,1178.50,,13314.38,,177,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,天津市,249.60,,2975.77,,178,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,北京市,4.21,,48.48,,179,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-12,全国,8499.90,5.70,96941.80,-3.90,180,2023-12-31 00:00:00,1,0,2024-07-21 04:09:16,0,2024-07-21 04:09:16,,,
2023-11,新疆区,82.59,,907.66,,181,2023-11-30 00:00:00,1,0,2024-07-21 04:09:20,0,2024-07-21 04:09:20,,,
2023-11,宁夏区,35.74,,364.86,,182,2023-11-30 00:00:00,1,0,2024-07-21 04:09:20,0,2024-07-21 04:09:20,,,
2023-11,青海省,21.14,,46.37,,183,2023-11-30 00:00:00,1,0,2024-07-21 04:09:20,0,2024-07-21 04:09:20,,,
2023-11,甘肃省,60.86,,739.62,,184,2023-11-30 00:00:00,1,0,2024-07-21 04:09:20,0,2024-07-21 04:09:20,,,
2023-11,陕西省,155.86,,1856.15,,185,2023-11-30 00:00:00,1,0,2024-07-21 04:09:20,0,2024-07-21 04:09:20,,,
2023-11,云南省,82.24,,1065.59,,186,2023-11-30 00:00:00,1,0,2024-07-21 04:09:20,0,2024-07-21 04:09:20,,,
2023-11,贵州省,137.85,,1197.64,,187,2023-11-30 00:00:00,1,0,2024-07-21 04:09:20,0,2024-07-21 04:09:20,,,
2023-11,四川省,553.84,,5677.17,,188,2023-11-30 00:00:00,1,0,2024-07-21 04:09:20,0,2024-07-21 04:09:20,,,
2023-11,重庆市,112.65,,1609.07,,189,2023-11-30 00:00:00,1,0,2024-07-21 04:09:20,0,2024-07-21 04:09:20,,,
