时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-14,印度西海岸,动力煤2#,,5000(GAR),86.45,0.20,CFR,122,2024-05-14 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-14,印度西海岸,动力煤1#,,5500(NAR),109.75,-0.60,CFR,123,2024-05-14 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-13,印度西海岸,动力煤3#,,4200(GAR),69.70,0.10,CFR,124,2024-05-13 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-13,印度西海岸,动力煤2#,,5000(GAR),86.25,0.30,CFR,125,2024-05-13 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-13,印度西海岸,动力煤1#,,5500(NAR),110.35,0.90,CFR,126,2024-05-13 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-10,印度西海岸,动力煤3#,,4200(GAR),69.60,0.30,CFR,127,2024-05-10 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-10,印度西海岸,动力煤2#,,5000(GAR),85.95,0.35,CFR,128,2024-05-10 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-10,印度西海岸,动力煤1#,,5500(NAR),109.45,0.30,CFR,129,2024-05-10 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-09,印度西海岸,动力煤3#,,4200(GAR),69.30,0.65,CFR,130,2024-05-09 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
2024-05-09,印度西海岸,动力煤2#,,5000(GAR),85.60,0.50,CFR,131,2024-05-09 00:00:00,1,0,2024-07-17 13:41:42,0,2024-07-17 13:41:42,,,
