source,table,file,rows,latest,earliest,columns
500plus,输入00000407-A-煤炭行业_煤炭库存_煤炭库存(月)_全国各电网煤炭库存,输入00000407--煤炭行业_煤炭库存_煤炭库存(月)_全国各电网煤炭库存.csv,0,,,"时间,所属电网,月末库存(万吨),同期值(万吨),同比变化(万吨)"
500plus,输入00000409-A-煤炭行业_煤炭消费_煤炭消费(月)_全国各电网煤炭消费量,输入00000409--煤炭行业_煤炭消费_煤炭消费(月)_全国各电网煤炭消费量.csv,0,,,"时间,所属电网,当月值(万吨),同期值(万吨),同比增长(%),累计值(万吨),同期累计(万吨),累计增长(%)"
500plus,输入00000411-A-煤炭行业_煤炭消费_煤炭消费(年)_全国煤炭消费量,输入00000411--煤炭行业_煤炭消费_煤炭消费(年)_全国煤炭消费量.csv,0,,,"时间,项目名称,当期值"
500plus,输入00000412-A-煤炭行业_煤炭消费_煤炭消费(年)_全国商品煤消费量,输入00000412--煤炭行业_煤炭消费_煤炭消费(年)_全国商品煤消费量.csv,0,,,"时间,消费量(亿吨),同比增长(%)"
500plus,输入00000431-A-煤炭行业_煤炭进口_煤炭进口(月)_分海关进口量_煤炭,输入00000431--煤炭行业_煤炭进口_煤炭进口(月)_分海关进口量_煤炭.csv,0,,,"时间,海关,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000432-A-煤炭行业_煤炭进口_煤炭进口(月)_分海关进口量_无烟煤,输入00000432--煤炭行业_煤炭进口_煤炭进口(月)_分海关进口量_无烟煤.csv,0,,,"时间,海关,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000433-A-煤炭行业_煤炭进口_煤炭进口(月)_分海关进口量_炼焦煤,输入00000433--煤炭行业_煤炭进口_煤炭进口(月)_分海关进口量_炼焦煤.csv,0,,,"时间,海关,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000434-A-煤炭行业_煤炭进口_煤炭进口(月)_分海关进口量_其他烟煤,输入00000434--煤炭行业_煤炭进口_煤炭进口(月)_分海关进口量_其他烟煤.csv,0,,,"时间,海关,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000435-A-煤炭行业_煤炭进口_煤炭进口(月)_分海关进口量_褐煤,输入00000435--煤炭行业_煤炭进口_煤炭进口(月)_分海关进口量_褐煤.csv,0,,,"时间,海关,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000436-A-煤炭行业_煤炭进口_煤炭进口(月)_分海关进口量_其他煤,输入00000436--煤炭行业_煤炭进口_煤炭进口(月)_分海关进口量_其他煤.csv,0,,,"时间,海关,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000437-A-煤炭行业_煤炭进口_煤炭进口(月)_分海关进口量_型煤,输入00000437--煤炭行业_煤炭进口_煤炭进口(月)_分海关进口量_型煤.csv,0,,,"时间,海关,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元)"
500plus,输入00000445-A-煤炭行业_煤炭进口_煤炭进口(年)_国内煤炭进口情况,输入00000445--煤炭行业_煤炭进口_煤炭进口(年)_国内煤炭进口情况.csv,0,,,"时间,项目名称,当期值"
500plus,输入00000472-A-电力行业_煤炭供耗存_全国重点电厂,输入00000472--电力行业_煤炭供耗存_全国重点电厂.csv,0,,,"时间,电网,月内供煤(万吨),月内耗煤(万吨),当日库存(万吨),可用天数(天)"
500plus,输入00000897-A-煤炭行业_煤炭库存_煤炭库存(月)_各电网煤炭库存,输入00000897--煤炭行业_煤炭库存_煤炭库存(月)_各电网煤炭库存.csv,0,,,"时间,所属电网,月末库存(万吨),同期值(万吨),同比变化(万吨)"
500plus,输入00000899-A-煤炭行业_煤炭消费_煤炭消费(月)_各电网煤炭消费量,输入00000899--煤炭行业_煤炭消费_煤炭消费(月)_各电网煤炭消费量.csv,0,,,"时间,所属电网,当月值(万吨),同期值(万吨),同比增长(%),累计值(万吨),同期累计(万吨),累计增长(%)"
500plus,输入00000900-A-煤炭行业_煤炭消费_煤炭消费(年)_煤炭消费量,输入00000900--煤炭行业_煤炭消费_煤炭消费(年)_煤炭消费量.csv,0,,,"时间,项目名称,当期值"
500plus,输入00000901-A-煤炭行业_煤炭消费_煤炭消费(年)_商品煤消费量,输入00000901--煤炭行业_煤炭消费_煤炭消费(年)_商品煤消费量.csv,0,,,"时间,消费量(亿吨),同比增长(%)"
