window,from_date,to_date,category,feature,name,prev,latest,delta,pct,z,corr_import_mean,down_pressure
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯_瘦焦煤_价格(元/吨),到岸价格_俄罗斯_瘦焦煤,1200.0,1200.0,0.0,0.0,0.0,0.06188055052285268,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯_瘦煤_价格(元/吨),到岸价格_俄罗斯_瘦煤,1180.0,1180.0,0.0,0.0,0.0,0.05845454361704074,-0.0
1,2026-06-24,2026-06-25,运费,输入00000278-CCTD-煤炭运费_水运价格_进口煤炭运费_印尼塔巴尼奥-中国广州_当期值(美元/吨),进口运费:印尼塔巴尼奥-中国广州,12.39,12.39,0.0,0.0,0.0,0.4511459874887544,-0.0
1,2026-06-24,2026-06-25,运费,输入00000278-CCTD-煤炭运费_水运价格_进口煤炭运费_印尼萨马林达-中国广州_当期值(美元/吨),进口运费:印尼萨马林达-中国广州,9.99,9.99,0.0,0.0,0.0,0.40507823312831776,-0.0
1,2026-06-24,2026-06-25,运费,输入00000278-CCTD-煤炭运费_水运价格_进口煤炭运费_澳大利亚海波因特-中国舟山_当期值(美元/吨),进口运费:澳大利亚海波因特-中国舟山,19.16,19.16,0.0,0.0,0.0,0.30777299706572414,-0.0
1,2026-06-24,2026-06-25,运费,输入00000278-CCTD-煤炭运费_水运价格_进口煤炭运费_澳大利亚纽卡斯尔-中国舟山_当期值(美元/吨),进口运费:澳大利亚纽卡斯尔-中国舟山,18.96,18.96,0.0,0.0,0.0,0.1719311348075543,-0.0
1,2026-06-24,2026-06-25,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_天津-上海(2-3万DWT)_本期(元/吨),沿海运费:天津-上海(2-3万DWT),42.3,42.3,0.0,0.0,0.0,0.17364710234018899,-0.0
1,2026-06-24,2026-06-25,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_天津-镇江(1-1.5万DWT)_本期(元/吨),沿海运费:天津-镇江(1-1.5万DWT),62.8,62.8,0.0,0.0,0.0,0.15826028551239063,-0.0
1,2026-06-24,2026-06-25,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_天津-镇江(2-3万DWT)_本期(元/吨),沿海运费:天津-镇江(2-3万DWT),44.4,44.4,0.0,0.0,0.0,0.17328270602118737,-0.0
1,2026-06-24,2026-06-25,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_曹妃甸-宁波(4-5万DWT)_本期(元/吨),沿海运费:曹妃甸-宁波(4-5万DWT),41.5,41.5,0.0,0.0,0.0,0.16166218667214366,-0.0
1,2026-06-24,2026-06-25,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-上海(4-5万DWT)_本期(元/吨),沿海运费:秦皇岛-上海(4-5万DWT),39.7,39.7,0.0,0.0,0.0,0.15991193599027317,-0.0
1,2026-06-24,2026-06-25,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-南京(3-4万DWT)_本期(元/吨),沿海运费:秦皇岛-南京(3-4万DWT),45.7,45.7,0.0,0.0,0.0,0.16773727164766883,-0.0
1,2026-06-24,2026-06-25,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-厦门(5-6万DWT)_本期(元/吨),沿海运费:秦皇岛-厦门(5-6万DWT),52.9,52.9,0.0,0.0,0.0,0.16519960922181404,-0.0
1,2026-06-24,2026-06-25,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-宁波(1.5-2万DWT)_本期(元/吨),沿海运费:秦皇岛-宁波(1.5-2万DWT),51.9,51.9,0.0,0.0,0.0,0.17072684808188263,-0.0
1,2026-06-24,2026-06-25,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-广州(5-6万DWT)_本期(元/吨),沿海运费:秦皇岛-广州(5-6万DWT),60.4,60.4,0.0,0.0,0.0,0.16033793474895602,-0.0
1,2026-06-24,2026-06-25,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-广州(6-7万DWT)_本期(元/吨),沿海运费:秦皇岛-广州(6-7万DWT),58.1,58.1,0.0,0.0,0.0,0.15183014851890606,-0.0
1,2026-06-24,2026-06-25,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-张家港(2-3万DWT)_本期(元/吨),沿海运费:秦皇岛-张家港(2-3万DWT),43.6,43.6,0.0,0.0,0.0,0.17793278070645768,-0.0
1,2026-06-24,2026-06-25,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-张家港(4-5万DWT)_本期(元/吨),沿海运费:秦皇岛-张家港(4-5万DWT),41.3,41.3,0.0,0.0,0.0,0.15764593843000743,-0.0
1,2026-06-24,2026-06-25,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_秦皇岛-福州(3-4万DWT)_本期(元/吨),沿海运费:秦皇岛-福州(3-4万DWT),49.4,49.4,0.0,0.0,0.0,0.1728069932195292,-0.0
1,2026-06-24,2026-06-25,运费,输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费_黄骅-上海(3-4万DWT)_本期(元/吨),沿海运费:黄骅-上海(3-4万DWT),40.1,40.1,0.0,0.0,0.0,0.1618971657435758,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,00000259_动力煤_价格(元/吨)--原产地_南非,00000259_动力煤--原产地_南非,870.0,870.0,0.0,0.0,0.0,0.547978292170547,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000259_动力煤_价格(元/吨)--原产地_广西区,00000259_动力煤--原产地_广西区,765.0,765.0,0.0,0.0,0.0,0.5006278824631097,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,00000259_动力煤_价格(元/吨)--原产地_澳大利亚,00000259_动力煤--原产地_澳大利亚,860.0,860.0,0.0,0.0,0.0,0.7011796979860362,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000268_动力煤2#_价格(元/吨)--发热量_4500,00000268_动力煤2#--发热量_4500,360.0,360.0,0.0,0.0,0.0,0.03395657000839147,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000268_动力煤2#_价格(元/吨)--发热量_5000,00000268_动力煤2#--发热量_5000,455.0,455.0,0.0,0.0,0.0,0.043192975801956426,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,00000275_1/3焦煤_价格(元/吨)--到岸港口_京唐,00000275_1/3焦煤--到岸港口_京唐,1170.0,1170.0,0.0,0.0,0.0,0.065558536289978,-0.0
